locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNPMNEEE_00786	CDS	915				hypothetical protein
KNPMNEEE_00787	CDS	1389				hypothetical protein
KNPMNEEE_00788	tRNA	76				tRNA-Glu(ttc)
KNPMNEEE_00789	CDS	1281	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
KNPMNEEE_00790	CDS	690	prcA			Proteasome subunit alpha
KNPMNEEE_00791	CDS	831				hypothetical protein
KNPMNEEE_00792	CDS	678				hypothetical protein
KNPMNEEE_00793	CDS	186				hypothetical protein
KNPMNEEE_00794	CDS	273				hypothetical protein
KNPMNEEE_00795	CDS	486				hypothetical protein
KNPMNEEE_00796	CDS	408				hypothetical protein
KNPMNEEE_00797	CDS	240				hypothetical protein
KNPMNEEE_00798	CDS	1038	frbC	2.3.3.19		2-phosphonomethylmalate synthase
KNPMNEEE_00799	CDS	1119	frc	2.8.3.16		Formyl-CoA:oxalate CoA-transferase
KNPMNEEE_00800	CDS	1365	ydjE_3			Inner membrane metabolite transport protein YdjE
KNPMNEEE_00801	CDS	1245	mntH		COG1914	Divalent metal cation transporter MntH
KNPMNEEE_00802	CDS	318				hypothetical protein
KNPMNEEE_00803	CDS	114				hypothetical protein
KNPMNEEE_00804	tRNA	73				tRNA-Pro(ggg)
KNPMNEEE_00805	CDS	222				hypothetical protein
KNPMNEEE_00806	CDS	405				hypothetical protein
KNPMNEEE_00807	CDS	414				hypothetical protein
KNPMNEEE_00808	CDS	369				hypothetical protein
KNPMNEEE_00809	CDS	195				hypothetical protein
KNPMNEEE_00810	CDS	1344	ygcS_1			Inner membrane metabolite transport protein YgcS
KNPMNEEE_00811	CDS	711	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
KNPMNEEE_00812	CDS	774				hypothetical protein
KNPMNEEE_00813	CDS	1482	Vejahgd	1.2.1.92	COG1012	3,6-anhydro-alpha-L-galactose dehydrogenase
KNPMNEEE_00814	CDS	1680	pyk	2.7.1.40		Pyruvate kinase
KNPMNEEE_00815	CDS	1629	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
KNPMNEEE_00816	CDS	1074	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
KNPMNEEE_00817	CDS	789	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
KNPMNEEE_00818	CDS	819	thrB_1	2.7.1.39		Homoserine kinase
KNPMNEEE_00819	CDS	1272	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
KNPMNEEE_00820	rRNA	1429				16S ribosomal RNA
KNPMNEEE_00821	CDS	219				hypothetical protein
KNPMNEEE_00822	CDS	897				hypothetical protein
KNPMNEEE_00823	CDS	1368				hypothetical protein
KNPMNEEE_00824	CDS	450				hypothetical protein
KNPMNEEE_00825	CDS	501	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
KNPMNEEE_00826	CDS	147				hypothetical protein
KNPMNEEE_00827	CDS	303				hypothetical protein
KNPMNEEE_00828	CDS	957				hypothetical protein
KNPMNEEE_00829	CDS	645	rplA		COG0081	50S ribosomal protein L1
KNPMNEEE_00830	CDS	477	rplK		COG0080	50S ribosomal protein L11
KNPMNEEE_00831	CDS	666	comB	3.1.3.71	COG2045	putative 2-phosphosulfolactate phosphatase
KNPMNEEE_00832	CDS	675				hypothetical protein
KNPMNEEE_00833	CDS	1128				hypothetical protein
KNPMNEEE_00834	CDS	216				hypothetical protein
KNPMNEEE_00835	CDS	750	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
KNPMNEEE_00836	CDS	996		1.18.1.2	COG0492	Ferredoxin--NADP reductase
KNPMNEEE_00837	CDS	1005				hypothetical protein
KNPMNEEE_00838	CDS	1203	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
KNPMNEEE_00839	CDS	159				hypothetical protein
KNPMNEEE_00840	CDS	531				hypothetical protein
KNPMNEEE_00841	CDS	1413	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
KNPMNEEE_00842	CDS	1122	icd_1	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
KNPMNEEE_00843	CDS	849				hypothetical protein
KNPMNEEE_00844	CDS	942				hypothetical protein
KNPMNEEE_00845	CDS	2607	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
KNPMNEEE_00846	CDS	519	tadA	3.5.4.33		tRNA-specific adenosine deaminase
KNPMNEEE_00847	CDS	540				hypothetical protein
KNPMNEEE_00848	CDS	582				hypothetical protein
KNPMNEEE_00849	CDS	417				hypothetical protein
KNPMNEEE_00850	CDS	1014	thrC_1	4.2.3.1	COG0498	Threonine synthase
KNPMNEEE_00851	CDS	2199	fusA		COG0480	Elongation factor G
KNPMNEEE_00852	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
KNPMNEEE_00853	CDS	1281	tuf_1		COG0050	Elongation factor Tu
KNPMNEEE_00854	CDS	315				hypothetical protein
KNPMNEEE_00855	CDS	519				hypothetical protein
KNPMNEEE_00856	CDS	108				hypothetical protein
KNPMNEEE_00857	CDS	351				hypothetical protein
KNPMNEEE_00858	CDS	3075	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
KNPMNEEE_00859	CDS	318				hypothetical protein
KNPMNEEE_00860	CDS	282				hypothetical protein
KNPMNEEE_00861	CDS	201				hypothetical protein
KNPMNEEE_00862	CDS	762	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
KNPMNEEE_00863	CDS	180				hypothetical protein
KNPMNEEE_00864	CDS	753				hypothetical protein
KNPMNEEE_00865	CDS	618				hypothetical protein
KNPMNEEE_00866	CDS	1266				hypothetical protein
KNPMNEEE_00867	CDS	267	fdhB1		COG0437	Formate dehydrogenase iron-sulfur subunit
KNPMNEEE_00868	CDS	1392				hypothetical protein
KNPMNEEE_00869	CDS	648	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
KNPMNEEE_00870	CDS	1158	bcd	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
KNPMNEEE_00871	CDS	381				hypothetical protein
KNPMNEEE_00872	CDS	111				hypothetical protein
KNPMNEEE_00873	CDS	387				hypothetical protein
KNPMNEEE_00874	CDS	198				hypothetical protein
KNPMNEEE_00875	CDS	2136	metG_1	6.1.1.10	COG0073	Methionine--tRNA ligase
KNPMNEEE_00876	CDS	180				hypothetical protein
KNPMNEEE_00877	CDS	534	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
KNPMNEEE_00878	CDS	660	lipB_1	2.3.1.181	COG0321	Octanoyltransferase
KNPMNEEE_00879	CDS	1290	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
KNPMNEEE_00880	CDS	1161	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
KNPMNEEE_00881	CDS	951	bkdA2	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
KNPMNEEE_00882	CDS	1035	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
KNPMNEEE_00883	CDS	855	lipA	2.8.1.8		Lipoyl synthase
KNPMNEEE_00884	CDS	990				hypothetical protein
KNPMNEEE_00885	CDS	1410	naiP_3			Putative niacin/nicotinamide transporter NaiP
KNPMNEEE_00886	CDS	411				hypothetical protein
KNPMNEEE_00887	CDS	678				hypothetical protein
KNPMNEEE_00888	CDS	1095	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KNPMNEEE_00889	CDS	1731	mdtD_3			Putative multidrug resistance protein MdtD
KNPMNEEE_00890	CDS	228				hypothetical protein
KNPMNEEE_00891	CDS	111				hypothetical protein
KNPMNEEE_00892	CDS	1872	QTRT1	2.4.2.29		Queuine tRNA-ribosyltransferase catalytic subunit 1
KNPMNEEE_00893	CDS	636				hypothetical protein
KNPMNEEE_00894	CDS	507				hypothetical protein
KNPMNEEE_00895	CDS	645				hypothetical protein
KNPMNEEE_00896	CDS	906				hypothetical protein
KNPMNEEE_00897	CDS	1443	iolT			Major myo-inositol transporter IolT
KNPMNEEE_00898	CDS	888				hypothetical protein
KNPMNEEE_00899	CDS	639				hypothetical protein
KNPMNEEE_00900	CDS	729				hypothetical protein
KNPMNEEE_00901	CDS	705				hypothetical protein
KNPMNEEE_00902	CDS	969				hypothetical protein
KNPMNEEE_00903	CDS	669	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
KNPMNEEE_00904	CDS	897	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
KNPMNEEE_00905	CDS	867				hypothetical protein
KNPMNEEE_00906	CDS	651				hypothetical protein
KNPMNEEE_00907	CDS	546	ycgJ	2.1.1.-		putative methyltransferase YcgJ
KNPMNEEE_00908	tRNA	86				tRNA-Leu(tag)
KNPMNEEE_00909	CDS	576				hypothetical protein
KNPMNEEE_00910	CDS	1974	pat	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase Pat
KNPMNEEE_00911	CDS	846	COQ2	2.5.1.39		4-hydroxybenzoate polyprenyltransferase, mitochondrial
KNPMNEEE_00912	CDS	780				hypothetical protein
KNPMNEEE_00913	CDS	3243				hypothetical protein
KNPMNEEE_00914	CDS	333				hypothetical protein
KNPMNEEE_00915	CDS	1611	pyrG	6.3.4.2		CTP synthase
KNPMNEEE_00916	CDS	1362	naiP_4			Putative niacin/nicotinamide transporter NaiP
KNPMNEEE_00917	CDS	495				hypothetical protein
KNPMNEEE_00918	CDS	1416				hypothetical protein
KNPMNEEE_00919	CDS	1029				hypothetical protein
KNPMNEEE_00920	CDS	960	thrC_2	4.2.3.1	COG0498	Threonine synthase
KNPMNEEE_00921	CDS	774				hypothetical protein
KNPMNEEE_00922	CDS	1320				hypothetical protein
KNPMNEEE_00923	CDS	1302	glyA_2	2.1.2.1	COG0112	Serine hydroxymethyltransferase
KNPMNEEE_00924	CDS	630				hypothetical protein
KNPMNEEE_00925	CDS	360				hypothetical protein
KNPMNEEE_00926	CDS	771	paaG	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
KNPMNEEE_00927	CDS	303	rhaM	5.1.3.32		L-rhamnose mutarotase
KNPMNEEE_00928	CDS	1098	mqnE_1	2.5.1.120	COG1060	Aminodeoxyfutalosine synthase
KNPMNEEE_00929	CDS	723	mqnA	4.2.1.151		Chorismate dehydratase
KNPMNEEE_00930	CDS	1101	mqnE_2	2.5.1.120	COG1060	Aminodeoxyfutalosine synthase
KNPMNEEE_00931	CDS	657	maiA	5.2.1.1	COG3473	Maleate isomerase
KNPMNEEE_00932	CDS	129				hypothetical protein
KNPMNEEE_00933	CDS	735	arcB	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
KNPMNEEE_00934	CDS	564				hypothetical protein
KNPMNEEE_00935	CDS	609	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
KNPMNEEE_00936	CDS	285				hypothetical protein
KNPMNEEE_00937	CDS	696		1.11.1.15	COG0450	Peroxiredoxin
KNPMNEEE_00938	CDS	423				hypothetical protein
KNPMNEEE_00939	tRNA	72				tRNA-Ala(cgc)
KNPMNEEE_00940	CDS	1206				hypothetical protein
KNPMNEEE_00941	CDS	630				hypothetical protein
KNPMNEEE_00942	CDS	180				hypothetical protein
KNPMNEEE_00943	CDS	336				hypothetical protein
KNPMNEEE_00944	CDS	405				hypothetical protein
KNPMNEEE_00945	CDS	1776				hypothetical protein
KNPMNEEE_00946	CDS	354				hypothetical protein
KNPMNEEE_00947	CDS	201				hypothetical protein
KNPMNEEE_00948	CDS	753	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
KNPMNEEE_00949	CDS	276				hypothetical protein
KNPMNEEE_00950	CDS	510				hypothetical protein
KNPMNEEE_00951	CDS	180				hypothetical protein
KNPMNEEE_00952	CDS	615	pinR	3.1.22.-	COG1961	Serine recombinase PinR
KNPMNEEE_00953	CDS	1071				hypothetical protein
KNPMNEEE_00954	CDS	1851				hypothetical protein
KNPMNEEE_00955	CDS	2538				hypothetical protein
KNPMNEEE_00956	CDS	174				hypothetical protein
KNPMNEEE_00957	CDS	1458				hypothetical protein
KNPMNEEE_00958	CDS	378	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
KNPMNEEE_00959	CDS	213				hypothetical protein
KNPMNEEE_00960	CDS	156				hypothetical protein
KNPMNEEE_00961	CDS	228				hypothetical protein
KNPMNEEE_00962	CDS	459				hypothetical protein
KNPMNEEE_00963	CDS	216				hypothetical protein
KNPMNEEE_00964	CDS	552				IS200/IS605 family transposase ISMma22
KNPMNEEE_00965	CDS	471				hypothetical protein
KNPMNEEE_00966	CDS	1086				hypothetical protein
KNPMNEEE_00967	CDS	483				hypothetical protein
KNPMNEEE_00968	CDS	666				IS200/IS605 family transposase ISHaha7
KNPMNEEE_00969	CDS	507	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
KNPMNEEE_00970	CDS	1419				hypothetical protein
KNPMNEEE_00971	CDS	582	yraA_2	3.2.-.-	COG0693	Putative cysteine protease YraA
KNPMNEEE_00972	CDS	303				hypothetical protein
KNPMNEEE_00973	CDS	1281	ttuB			Putative tartrate transporter
KNPMNEEE_00974	CDS	1437				hypothetical protein
KNPMNEEE_00975	CDS	312				hypothetical protein
KNPMNEEE_00976	CDS	252				hypothetical protein
KNPMNEEE_00977	CDS	255				hypothetical protein
KNPMNEEE_00978	CDS	993			COG3938	putative protein/GBAA_2834/BAS2643
KNPMNEEE_00979	CDS	1146		3.5.1.47		N-acetyldiaminopimelate deacetylase
KNPMNEEE_00980	CDS	117				hypothetical protein
KNPMNEEE_00981	CDS	525				hypothetical protein
KNPMNEEE_00982	CDS	300				hypothetical protein
KNPMNEEE_00983	CDS	876				IS256 family transposase ISFac8
KNPMNEEE_00984	CDS	237				hypothetical protein
KNPMNEEE_00985	CDS	153				hypothetical protein
KNPMNEEE_00986	CDS	192				hypothetical protein
KNPMNEEE_00987	CDS	1155	ycaD			putative MFS-type transporter YcaD
KNPMNEEE_00988	CDS	165				hypothetical protein
KNPMNEEE_00989	CDS	147				hypothetical protein
KNPMNEEE_00990	CDS	762	fadH	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
KNPMNEEE_00991	CDS	354				hypothetical protein
KNPMNEEE_00992	CDS	270				hypothetical protein
KNPMNEEE_00993	CDS	201				hypothetical protein
KNPMNEEE_00994	CDS	321				hypothetical protein
KNPMNEEE_00995	CDS	645	galE1	5.1.3.2	COG1088	UDP-glucose 4-epimerase
KNPMNEEE_00996	CDS	198				hypothetical protein
KNPMNEEE_00997	CDS	1290	hisS	6.1.1.21		Histidine--tRNA ligase
KNPMNEEE_00998	CDS	234				hypothetical protein
KNPMNEEE_00999	CDS	306				hypothetical protein
KNPMNEEE_01000	CDS	1038				hypothetical protein
KNPMNEEE_01001	CDS	975	guaA_1	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
KNPMNEEE_01002	CDS	603				hypothetical protein
KNPMNEEE_01003	CDS	867				hypothetical protein
KNPMNEEE_01004	CDS	498				hypothetical protein
KNPMNEEE_01005	CDS	1203	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
KNPMNEEE_01006	CDS	975		3.6.1.-		Inosine/xanthosine triphosphatase
KNPMNEEE_01007	CDS	891				hypothetical protein
KNPMNEEE_01008	CDS	1128				IS200/IS605 family transposase ISHvo24
KNPMNEEE_01009	CDS	303	sufT			Fe-S protein maturation auxiliary factor SufT
KNPMNEEE_01010	CDS	606				hypothetical protein
KNPMNEEE_01011	CDS	1245	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
KNPMNEEE_01012	CDS	222				hypothetical protein
KNPMNEEE_01013	CDS	198				hypothetical protein
KNPMNEEE_01014	CDS	1458	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
KNPMNEEE_01015	CDS	1404				hypothetical protein
KNPMNEEE_01016	CDS	342				hypothetical protein
KNPMNEEE_01017	CDS	552				hypothetical protein
KNPMNEEE_01018	CDS	1110				hypothetical protein
KNPMNEEE_01019	CDS	117				hypothetical protein
KNPMNEEE_01020	CDS	1251	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
KNPMNEEE_01021	CDS	504	hacB	4.2.1.36	COG0066	Homoaconitase small subunit
KNPMNEEE_01022	CDS	1170	sotB			sugar efflux transporter
KNPMNEEE_01023	CDS	690				hypothetical protein
KNPMNEEE_01024	CDS	225				hypothetical protein
KNPMNEEE_01025	CDS	234				hypothetical protein
KNPMNEEE_01026	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
KNPMNEEE_01027	CDS	1119	leuA_1	2.3.3.13		2-isopropylmalate synthase
KNPMNEEE_01028	CDS	972	murK	2.7.1.-	COG2971	N-acetylmuramic acid/N-acetylglucosamine kinase
KNPMNEEE_01029	CDS	417				hypothetical protein
KNPMNEEE_01030	CDS	984	drrA	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
KNPMNEEE_01031	CDS	804	drrB			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
KNPMNEEE_01032	CDS	678	pyrH			Uridylate kinase
KNPMNEEE_01033	CDS	1239				hypothetical protein
KNPMNEEE_01034	CDS	993				hypothetical protein
KNPMNEEE_01035	CDS	2235	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
KNPMNEEE_01036	CDS	927	thrB_2	2.7.1.39	COG0083	Homoserine kinase
KNPMNEEE_01037	CDS	1086	mccB	4.4.1.1	COG0626	Cystathionine gamma-lyase
KNPMNEEE_01038	CDS	597				hypothetical protein
KNPMNEEE_01039	CDS	624	sodB	1.15.1.1		Superoxide dismutase [Fe]
KNPMNEEE_01040	CDS	630	ogg		COG1059	putative N-glycosylase/DNA lyase
KNPMNEEE_01041	CDS	840	thiI_1	2.8.1.4	COG0301	tRNA sulfurtransferase
KNPMNEEE_01042	CDS	537	thiI_2	2.8.1.4	COG0301	tRNA sulfurtransferase
KNPMNEEE_01043	CDS	555		1.-.-.-	COG0431	NAD(P)H-dependent FMN reductase
KNPMNEEE_01044	CDS	291				hypothetical protein
KNPMNEEE_01045	CDS	1083	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
KNPMNEEE_01046	CDS	1929				hypothetical protein
KNPMNEEE_01047	CDS	243				hypothetical protein
KNPMNEEE_01048	CDS	108				hypothetical protein
KNPMNEEE_01049	CDS	651	atpD		COG1394	V-type ATP synthase subunit D
KNPMNEEE_01050	CDS	1377	ntpB			V-type sodium ATPase subunit B
KNPMNEEE_01051	CDS	213				hypothetical protein
KNPMNEEE_01052	CDS	1524	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
KNPMNEEE_01053	CDS	309	atpF			V-type ATP synthase subunit F
KNPMNEEE_01054	CDS	1062	atpC			V-type ATP synthase subunit C
KNPMNEEE_01055	CDS	570	atpE			V-type proton ATPase subunit E
KNPMNEEE_01056	CDS	228				hypothetical protein
KNPMNEEE_01057	CDS	1509				hypothetical protein
KNPMNEEE_01058	CDS	897	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KNPMNEEE_01059	CDS	390				hypothetical protein
KNPMNEEE_01060	CDS	312				hypothetical protein
KNPMNEEE_01061	CDS	729				hypothetical protein
KNPMNEEE_01062	CDS	300				hypothetical protein
KNPMNEEE_01063	CDS	405				hypothetical protein
KNPMNEEE_01064	CDS	210				hypothetical protein
KNPMNEEE_01065	CDS	231				hypothetical protein
KNPMNEEE_01066	CDS	144				hypothetical protein
KNPMNEEE_01067	CDS	501				hypothetical protein
KNPMNEEE_01068	CDS	1050	fni_2	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
KNPMNEEE_01069	CDS	729	proB	2.7.2.11		Glutamate 5-kinase
KNPMNEEE_01070	CDS	141				hypothetical protein
KNPMNEEE_01071	CDS	255				hypothetical protein
KNPMNEEE_01072	CDS	1659				hypothetical protein
KNPMNEEE_01073	CDS	234				hypothetical protein
KNPMNEEE_01074	CDS	510				hypothetical protein
KNPMNEEE_01075	tRNA	74				tRNA-Ala(tgc)
KNPMNEEE_01076	CDS	1107	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
KNPMNEEE_01077	CDS	228				hypothetical protein
KNPMNEEE_01078	tRNA	73				tRNA-Phe(gaa)
KNPMNEEE_01079	CDS	1167	leuA_2	2.3.3.13		2-isopropylmalate synthase
KNPMNEEE_01080	CDS	1242	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
KNPMNEEE_01081	CDS	483	DmdB	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
KNPMNEEE_01082	CDS	1071	hicd	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
KNPMNEEE_01083	CDS	1236	sqr	1.8.5.4	COG0446	Sulfide-quinone reductase
KNPMNEEE_01084	CDS	648				hypothetical protein
KNPMNEEE_01085	tRNA	74				tRNA-Gln(ttg)
KNPMNEEE_01086	CDS	195				hypothetical protein
KNPMNEEE_01087	CDS	1284				hypothetical protein
KNPMNEEE_01088	CDS	333				hypothetical protein
KNPMNEEE_01089	CDS	936				hypothetical protein
KNPMNEEE_01090	CDS	1326	glnA	6.3.1.2	COG0174	Glutamine synthetase
KNPMNEEE_01091	CDS	2319	valS_1	6.1.1.9		Valine--tRNA ligase
KNPMNEEE_01092	CDS	1284	argH	4.3.2.1		Argininosuccinate lyase
KNPMNEEE_01093	CDS	1242	argG	6.3.4.5	COG0137	Argininosuccinate synthase
KNPMNEEE_01094	CDS	591				hypothetical protein
KNPMNEEE_01095	CDS	435				hypothetical protein
KNPMNEEE_01096	CDS	1008	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
KNPMNEEE_01097	CDS	369				hypothetical protein
KNPMNEEE_01098	CDS	339				hypothetical protein
KNPMNEEE_01099	CDS	636		1.11.1.15	COG0450	Peroxiredoxin
KNPMNEEE_01100	CDS	225				hypothetical protein
KNPMNEEE_01101	CDS	240				hypothetical protein
KNPMNEEE_01102	rRNA	2882				23S ribosomal RNA
KNPMNEEE_01103	CDS	831	apbC		COG0489	Iron-sulfur cluster carrier protein
KNPMNEEE_01104	CDS	897	rbsK	2.7.1.15	COG0524	Ribokinase
KNPMNEEE_01105	CDS	426				hypothetical protein
KNPMNEEE_01106	CDS	582	pyrE_1	2.4.2.10		Orotate phosphoribosyltransferase
KNPMNEEE_01107	CDS	1524	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
KNPMNEEE_01108	CDS	1089				hypothetical protein
KNPMNEEE_01109	CDS	1914				hypothetical protein
KNPMNEEE_01110	CDS	261				hypothetical protein
KNPMNEEE_01111	CDS	348				hypothetical protein
KNPMNEEE_01112	CDS	456	ppiB	5.2.1.8	COG0652	putative peptidyl-prolyl cis-trans isomerase
KNPMNEEE_01113	CDS	1410	nanT_2			Sialic acid transporter NanT
KNPMNEEE_01114	CDS	1011	adhT	1.1.1.1		Alcohol dehydrogenase
KNPMNEEE_01115	CDS	756	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
KNPMNEEE_01116	CDS	573				hypothetical protein
KNPMNEEE_01117	CDS	672				IS200/IS605 family transposase ISHaha7
KNPMNEEE_01118	CDS	459				hypothetical protein
KNPMNEEE_01119	CDS	1086				hypothetical protein
KNPMNEEE_01120	CDS	1086	csbC_5			putative metabolite transport protein CsbC
KNPMNEEE_01121	CDS	312				hypothetical protein
KNPMNEEE_01122	CDS	831		3.1.1.99		6-deoxy-6-sulfogluconolactonase
KNPMNEEE_01123	CDS	318	nagAb			Naphthalene 1,2-dioxygenase/salicylate 5-hydroxylase systems, ferredoxin component
KNPMNEEE_01124	CDS	1689	fixB_2			Protein FixB
KNPMNEEE_01125	CDS	582				hypothetical protein
KNPMNEEE_01126	CDS	474	vapC_2	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
KNPMNEEE_01127	CDS	771				hypothetical protein
KNPMNEEE_01128	CDS	768	ttuC	2.7.7.80	COG0476	Sulfur carrier protein adenylyltransferase
KNPMNEEE_01129	CDS	513				hypothetical protein
KNPMNEEE_01130	CDS	414				hypothetical protein
KNPMNEEE_01131	CDS	885		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
KNPMNEEE_01132	CDS	621	tmk	2.7.4.9		Thymidylate kinase
KNPMNEEE_01133	CDS	579				hypothetical protein
KNPMNEEE_01134	CDS	558				hypothetical protein
KNPMNEEE_01135	CDS	162				hypothetical protein
KNPMNEEE_01136	CDS	195				hypothetical protein
KNPMNEEE_01137	CDS	90				hypothetical protein
KNPMNEEE_01138	CDS	255				IS481 family transposase ISFac5
KNPMNEEE_01139	CDS	243				hypothetical protein
KNPMNEEE_01140	CDS	150				hypothetical protein
KNPMNEEE_01141	CDS	1956	apc3	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
KNPMNEEE_01142	CDS	1419	apc4	6.4.1.8	COG0146	Acetophenone carboxylase delta subunit
KNPMNEEE_01143	CDS	90				hypothetical protein
KNPMNEEE_01144	CDS	267				hypothetical protein
KNPMNEEE_01145	CDS	249				hypothetical protein
KNPMNEEE_01146	CDS	831	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
KNPMNEEE_01147	CDS	1167				IS200/IS605 family transposase ISMma19
KNPMNEEE_01148	CDS	1086				hypothetical protein
KNPMNEEE_01149	CDS	609	msrP	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
KNPMNEEE_01150	CDS	168				hypothetical protein
KNPMNEEE_01151	CDS	456				hypothetical protein
KNPMNEEE_01152	CDS	237				hypothetical protein
KNPMNEEE_01153	CDS	1113	oxlT			Oxalate:formate antiporter
KNPMNEEE_01154	CDS	693				hypothetical protein
KNPMNEEE_01155	CDS	480				hypothetical protein
KNPMNEEE_01156	CDS	195				hypothetical protein
KNPMNEEE_01157	CDS	723	rph_1	2.7.7.56	COG0689	Ribonuclease PH
KNPMNEEE_01158	CDS	783	rph_2	2.7.7.56		Ribonuclease PH
KNPMNEEE_01159	CDS	258				hypothetical protein
KNPMNEEE_01160	CDS	1143				hypothetical protein
KNPMNEEE_01161	CDS	297				hypothetical protein
KNPMNEEE_01162	CDS	270				hypothetical protein
KNPMNEEE_01163	CDS	441				hypothetical protein
KNPMNEEE_01164	CDS	720	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
KNPMNEEE_01165	CDS	846				hypothetical protein
KNPMNEEE_01166	CDS	1113	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
KNPMNEEE_01167	CDS	1173	pcaF	2.3.1.174	COG0183	Beta-ketoadipyl-CoA thiolase
KNPMNEEE_01168	CDS	342				hypothetical protein
KNPMNEEE_01169	CDS	810	mqnD_1	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
KNPMNEEE_01170	CDS	1506	ythA_2	1.10.3.-	COG1271	Putative cytochrome bd menaquinol oxidase subunit I
KNPMNEEE_01171	CDS	1053				hypothetical protein
KNPMNEEE_01172	tRNA	73				tRNA-Pro(tgg)
KNPMNEEE_01173	CDS	420				hypothetical protein
KNPMNEEE_01174	CDS	891				IS200/IS605 family transposase ISTac1
KNPMNEEE_01175	CDS	225				hypothetical protein
KNPMNEEE_01176	CDS	285				hypothetical protein
KNPMNEEE_01177	CDS	405				hypothetical protein
KNPMNEEE_01178	CDS	504				hypothetical protein
KNPMNEEE_01179	CDS	279				hypothetical protein
KNPMNEEE_01180	CDS	1374	CARKD	4.2.1.136		ATP-dependent (S)-NAD(P)H-hydrate dehydratase
